schoolname,scope,collegeID,yr_closed,yr_approved,yr_submit,yr_canceled,days_between,years_between,alt,construct,reconstruct,repair,relocate,edu_building,career_tech,community1,community2,gen_facilities,admin,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,scaled_cost,genenrollment,spend_student,career_techstudent,edu_buildingstudent,gen_facilitiesstudent,adminstudent,altstudent,constructstudent,reconstructstudent,repairstudent,relocatestudent
GROSSMONT COMMUNITY COLLEGE,ALTERATIONS TO 1-CLASSROOM BUILDING #400 (A#04-108266) 1-PARKING LOT - RESTRIPE; CONSTRUCTION OF 1-TENNIS COURTS 9-LIGHTING POLES,22,2015,2014,2014,,351,0.96100616,0,1,0,0,0,1,0,0,1,1,0,2384361.8,1556487.5,141890.38,1698377.9,1698377.9,1.6983778,24678,68.821533,0,68.821533,68.821533,0,0,68.821533,0,0,0
GROSSMONT COLLEGE,ADDITIONS TO 1-MECHANICAL CENTRAL PLANT BUILDING 71 (A#04-106684); ALTERATIONS TO 1-MECHANICAL CENTRAL PLANT BUILDING 71 (A#04-106684),22,,2015,2015,,,,0,0,0,1,0,0,0,0,0,1,0,4948004,,,,4948004,4.9480038,24262,203.94048,0,0,203.94048,0,0,0,0,203.94048,0
GROSSMONT COMMUNITY COLLEGE,ALTERATIONS TO 1-CELL TOWER EQUIPMENT (A04-103614),22,2015,2015,2014,,314,0.85970348,1,0,0,0,0,0,0,0,0,1,0,14854.147,,,,14854.147,0.014854147,24262,0.61223918,0,0,0.61223918,0,0.61223918,0,0,0,0
IMPERIAL VALLEY COMMUNITY COLLEGE,CONSTRUCTION OF ONE 36X40 CR./CHILDCARE BLDG.(RELOC.) (PC-04-100335),31,2009,1998,1998,,4023,11.014609,0,1,0,0,0,1,1,0,0,0,0,35925.688,,,,35925.688,0.035925686,9019,3.9833338,3.9833338,3.9833338,0,0,0,3.9833338,0,0,0
IMPERIAL VALLEY COLLEGE,CONSTRUCTION OF CONSTRUCTION OF ONE (1)  SHADE STRUCTURE(A-54425 COMPARISON),31,2002,1999,1999,,1127,3.0856237,0,1,0,0,0,0,0,0,0,1,0,42487.164,42487.164,,,42487.164,0.042487163,9163,4.6368179,0,0,4.6368179,0,0,4.6368179,0,0,0
IMPERIAL VALLEY COLLEGE,ALTERATION TO: GYM BLDG (21614) TELESCOPING BLEACHERS,31,2009,1999,1998,,3562,9.7524328,1,0,0,0,0,0,0,0,1,0,0,112531.36,112531.36,,,112531.36,0.11253136,9163,12.281061,0,0,0,0,12.281061,0,0,0,0
IMPERIAL VALLEY COLLEGE,ALTERATION TO GYMNASIUM BLDG (A# 21614) NEW WHEELCHAIR LIFT & PLATFORM,31,2004,2002,2002,,518,1.418237,1,0,0,0,0,0,0,0,1,0,0,23587.127,19987.469,,,19987.469,0.01998747,10345,1.9320898,0,0,0,0,1.9320898,0,0,0,0
IMPERIAL VALLEY COLLEGE /  MODULAR LANGUAGE ARTS BLDG.,CONSTRUCTION OF CONSTRUCTION OF:  ONE (1)  60 X 120  RELOC. BLDG.,31,2007,2002,2001,,1707,4.6736112,0,1,0,0,0,0,0,0,0,0,0,529175.69,529175.69,,,529175.69,0.5291757,10345,51.152798,0,0,0,0,0,51.152798,0,0,0
IMPERIAL VALLEY COMMUNITY COLLEGE,CONSTRUCTION OF 1 - RELOCATABLE C.R. BLDG (STOCKPILE # 04-101749),31,2007,2005,2005,,833,2.2806785,0,1,0,0,0,1,0,0,0,0,0,24272.107,24272.107,,,24272.107,0.024272107,10423,2.3287065,0,2.3287065,0,0,0,2.3287065,0,0,0
IMPERIAL VALLEY COMMUNITY COLLEGE,CONSTRUCTION OF 1 - SCIENCE BLDG 6 SHADE STRUCTURES 2-MECHANICAL YARDS,31,2013,2008,2007,,2080,5.6948514,0,1,0,0,0,1,0,0,0,1,0,26563222,33123390,193194.98,33316586,33316586,33.316586,12736,2615.938,0,2615.938,2615.938,0,0,2615.938,0,0,0
IMPERIAL VALLEY COLLEGE,CONSTRUCTION OF 6-SHADE STRUCTURES 1-BUS KIOSK 1-PARKING LOT + SITEWORK,31,2013,2009,2009,,1435,3.9288998,0,1,0,0,0,0,0,0,0,1,0,1635828.1,2551280,-2152.488,2549127.5,2549127.5,2.5491276,12148,209.83928,0,0,209.83928,0,0,209.83928,0,0,0
IMPERIAL VALLEY COLLEGE,CONSTRUCTION OF 1-SITE WORK 1-ART GALLERY/PAVILION ,31,2014,2010,2010,,1451,3.9727063,0,1,0,0,0,1,0,0,0,1,0,432123.13,1098870.8,8985.1904,1107856,1107856,1.107856,11831,93.640099,0,93.640099,93.640099,0,0,93.640099,0,0,0
IMPERIAL VALLEY COLLEGE,RELOCATION OF 1-TOILET BUILDING (RELOCATABLE 12'X40' (04-107005) 5-CLASSROOM BUILDINGS (RELOCATABLE; 24'X40' (04-106743 24'X 40'),31,2014,2010,2010,,1385,3.7920043,0,0,0,0,1,1,0,0,0,1,0,432292.09,456626.91,,456626.91,456626.91,0.45662689,11831,38.595798,0,38.595798,38.595798,0,0,0,0,0,38.595798
IMPERIAL VALLEY COLLEGE,ALTERATIONS TO 1-CLASSROOM BUILDING 400 (A#21614),31,2013,2011,2010,,966,2.6448205,1,0,0,0,0,1,0,0,0,0,0,3989160.3,4766729.5,155768.56,4922498,4922498,4.9224982,11641,422.8587,0,422.8587,0,0,422.8587,0,0,0,0
IMPERIAL VALLEY COLLEGE,CONSTRUCTION OF 3-BUS TERMINAL- SHADE STRUCTURES AND SITE WORK,31,2014,2011,2011,,1056,2.8912323,0,1,0,0,0,0,0,0,0,1,0,1463197.6,1329541.9,13140.56,1342682.4,1342682.4,1.3426824,11641,115.34081,0,0,115.34081,0,0,115.34081,0,0,0
IMPERIAL VALLEY COLLEGE,CONSTRUCTION OF 2-CLASSROOM BUILDINGS(CAREER TECHNICAL FACILITY) 3100 & 3200,31,2015,2012,2011,,1045,2.8611152,0,1,0,0,0,1,1,0,0,0,0,16590087,20324896,76910.609,20401808,20401808,20.401808,9978,2044.6791,2044.6791,2044.6791,0,0,0,2044.6791,0,0,0
IMPERIAL VALLEY COLLEGE,ALTERATIONS TO 1-OFFICES AND CLASSROOM BUILDING 900 (A52343),31,2014,2013,2013,,500,1.3689547,1,0,0,0,0,1,0,0,0,0,1,1719326,2081035.9,,2081035.9,2081035.9,2.0810359,9692,214.71687,0,214.71687,0,214.71687,214.71687,0,0,0,0
IMPERIAL VALLEY COLLEGE,ALTERATIONS TO 3-CLASSROOM BUILDINGS 200 300 & 800 (A#21614),31,,2013,2012,,,,1,0,0,0,0,1,0,0,0,0,0,9154567,,,,9154567,9.1545668,9692,944.54883,0,944.54883,0,0,944.54883,0,0,0,0
ADULT LEARNING CENTER / MIRA COSTA COMM. COLL. DISTRICT,RECONSTRUCTION OF: CR/COMPUT LAB BLDG(A & B),51,2004,1999,1999,,1769,4.8433614,0,0,1,0,0,1,0,0,0,0,0,4531964,5993522.5,532927.81,,6526450.5,6.5264506,19737,330.67084,0,330.67084,0,0,0,0,330.67084,0,0
MIRACOSTA COLLEGE,ALTERATIONS TO:  BLDGS:  3500 A & B; 3600 A&B (MODERNIZATION),51,2000,1999,1998,,437,1.1964663,1,0,0,0,0,0,0,0,0,0,0,1414075,2200068.8,63573.723,,2263642.5,2.2636425,19737,114.6903,0,0,0,0,114.6903,0,0,0,0
MIRA COSTA COLLEGE,ALTERATIONS TO:  BUILDING 400 - SAN ELIJO CAMPUS,51,2002,2000,2000,,805,2.2040169,1,0,0,0,0,0,0,0,0,0,0,213094.63,321273.84,,,321273.84,0.32127383,20507,15.666545,0,0,0,0,15.666545,0,0,0,0
